type,algorithm,N,seed,timeout,max_fringe,cost,length,expanded,filename
tree,ucs,5,5,False,61751,3,4,3250,hlog-tree-ucs_N5_S5.log
tree,astar,7,3,False,739,5,6,18,hlog-tree-astar_N7_S3.log
tree,ucs,10,1,False,,,,,hlog-tree-ucs_N10_S1.log
graph,ucs,10,3,False,,,,,hlog-graph-ucs_N10_S3.log
tree,astar,4,5,False,34,3,4,3,hlog-tree-astar_N4_S5.log
graph,astar,9,5,False,750,5,6,12,hlog-graph-astar_N9_S5.log
tree,astar,6,5,False,204,4,5,7,hlog-tree-astar_N6_S5.log
graph,astar,8,1,False,1418,7,8,32,hlog-graph-astar_N8_S1.log
graph,astar,10,5,False,1185,7,8,15,hlog-graph-astar_N10_S5.log
tree,astar,10,3,False,1959,6,7,22,hlog-tree-astar_N10_S3.log
tree,ucs,4,4,False,1178,2,3,107,hlog-tree-ucs_N4_S4.log
graph,astar,6,4,False,77,3,4,3,hlog-graph-astar_N6_S4.log
graph,astar,10,3,False,1559,6,7,20,hlog-graph-astar_N10_S3.log
tree,astar,9,3,False,9018,7,8,127,hlog-tree-astar_N9_S3.log
tree,astar,10,1,False,9969,8,9,112,hlog-tree-astar_N10_S1.log
graph,astar,6,1,False,1146,5,6,56,hlog-graph-astar_N6_S1.log
tree,ucs,7,2,False,,,,,hlog-tree-ucs_N7_S2.log
tree,ucs,7,3,False,6350040,4,5,154879,hlog-tree-ucs_N7_S3.log
graph,astar,10,2,False,955,7,8,12,hlog-graph-astar_N10_S2.log
tree,astar,8,5,False,276,5,6,5,hlog-tree-astar_N8_S5.log
graph,ucs,7,4,False,48060,3,4,6936,hlog-graph-ucs_N7_S4.log
graph,ucs,5,2,False,1664,3,4,514,hlog-graph-ucs_N5_S2.log
graph,astar,6,2,False,699,5,6,32,hlog-graph-astar_N6_S2.log
tree,ucs,9,4,False,,,,,hlog-tree-ucs_N9_S4.log
tree,astar,9,4,False,1776,8,9,25,hlog-tree-astar_N9_S4.log
tree,ucs,6,4,False,24506,2,3,845,hlog-tree-ucs_N6_S4.log
graph,ucs,5,1,False,500,2,3,78,hlog-graph-ucs_N5_S1.log
tree,astar,10,4,False,11393,10,11,128,hlog-tree-astar_N10_S4.log
tree,astar,9,5,False,995,5,6,14,hlog-tree-astar_N9_S5.log
graph,ucs,10,2,False,,,,,hlog-graph-ucs_N10_S2.log
tree,ucs,10,5,False,,,,,hlog-tree-ucs_N10_S5.log
tree,astar,7,1,False,165,4,5,4,hlog-tree-astar_N7_S1.log
tree,astar,4,2,False,23,2,3,2,hlog-tree-astar_N4_S2.log
graph,ucs,10,5,False,,,,,hlog-graph-ucs_N10_S5.log
tree,astar,6,4,False,88,3,4,3,hlog-tree-astar_N6_S4.log
graph,astar,8,4,False,1025,7,8,22,hlog-graph-astar_N8_S4.log
graph,ucs,8,3,False,315805,4,5,41517,hlog-graph-ucs_N8_S3.log
graph,astar,7,3,False,472,5,6,14,hlog-graph-astar_N7_S3.log
graph,ucs,9,5,False,1262128,4,5,120436,hlog-graph-ucs_N9_S5.log
graph,ucs,8,5,False,296013,4,5,38282,hlog-graph-ucs_N8_S5.log
tree,ucs,8,5,False,,,,,hlog-tree-ucs_N8_S5.log
graph,astar,4,5,False,27,3,4,3,hlog-graph-astar_N4_S5.log
